Name,City,IATA Code,Destination Count,Latitude,Longitude
Jiuzhai Huanglong Airport,Jiuzhaigou,JZH,16,32.8533333333,103.68222222200001
Kashgar Airport,Kashi,KHG,13,39.5429000854,76.0199966431
Nanchang Changbei International Airport,Nanchang,KHN,86,28.864999771118164,115.9000015258789
Kunming Changshui International Airport,Kunming,KMG,273,25.101944399999997,102.9291667
Ganzhou Airport,Ganzhou,KOW,13,25.853333,114.77888899999999
Longdongbao Airport,Guiyang,KWE,137,26.53849983215332,106.8010025024414
Guilin Liangjiang International Airport,Guilin,KWL,107,25.21809959411621,110.03900146484376
Lanzhou Zhongchuan Airport,Lanzhou,LHW,84,36.5152015686,103.620002747
Lijiang Airport,Lijiang,LJG,65,26.6800003052,100.24600219700001
Mangshi Airport,Luxi,LUM,6,24.4011,98.5317
Lhasa Gonggar Airport,Lhasa,LXA,30,29.2978000641,90.9119033813
Shubuling Airport,Linyi,LYI,18,35.04610061645508,118.41200256347656
Nyingchi Airport,Nyingchi,LZY,5,29.303300857543945,94.33529663085938
Melbourne International Airport,Melbourne,MEL,137,-37.673302,144.843002
Mianyang Airport,Mianyang,MIG,22,31.4281005859375,104.74099731445312
Ningbo Lishe International Airport,Ninbo,NGB,84,29.82670021057129,121.46199798583984
Nanjing Lukou Airport,Nanjing,NKG,165,31.742000579833984,118.86199951171876
Nanning Wuxu Airport,Nanning,NNG,114,22.60829925537109,108.1719970703125
Manzhouli Xijiao Airport,Manzhouli,NZH,11,49.566666999999995,117.33
Beijing Capital International Airport,Beijing,PEK,535,40.0801010131836,116.58499908447266
Shanghai Pudong International Airport,Shanghai,PVG,411,31.143400192260746,121.80500030517578
Bao'anying Airport,Panzhihua,PZI,4,26.54,101.79852
Taoxian Airport,Shenyang,SHE,136,41.63980102539063,123.48300170898438
Shijiazhuang Daguocun International Airport,Shijiazhuang,SJW,82,38.28070068359375,114.6969985961914
Saipan International Airport,Saipan,SPN,10,15.119000000000002,145.729004
Sydney Kingsford Smith International Airport,Sydney,SYD,208,-33.94609832763672,151.177001953125
Sanya Phoenix International Airport,Sanya,SYX,109,18.30290031433105,109.41200256347656
Shenzhen Bao'an International Airport,Shenzhen,SZX,234,22.639299392700195,113.81099700927734
Liuting Airport,Qingdao,TAO,188,36.2661018372,120.374000549
Yaoqiang Airport,Jinan,TNA,135,36.857200622558594,117.21600341796876
Taipei Songshan Airport,Taipei,TSA,40,25.06940078735352,121.552001953125
Tianjin Binhai International Airport,Tianjin,TSN,147,39.1244010925,117.346000671
Taiyuan Wusu Airport,Taiyuan,TYN,110,37.74689865112305,112.62799835205078
Ürümqi Diwopu International Airport,Urumqi,URC,153,43.90710067749024,87.47419738769531
Yulin Yuyang Airport,Yulin,UYN,12,38.35971,109.59092700000001
Wenzhou Longwan International Airport,Wenzhou,WNZ,81,27.912201,120.851997
Wuhan Tianhe International Airport,Wuhan,WUH,187,30.7838,114.208
Sunan Shuofang International Airport,Wuxi,WUX,47,31.4944000244,120.429000854
Wanxian Airport,Wanxian,WXN,12,30.8017,108.43299999999999
Xichang Qingshan Airport,Xichang,XIC,5,27.98909950256348,102.18399810791016
Xi'an Xianyang International Airport,Xi'an,XIY,283,34.447102,108.751999
Xiamen Gaoqi International Airport,Xiamen,XMN,233,24.54400062561035,118.12799835205078
Xining Caojiabu Airport,Xining,XNN,49,36.5275,102.042999
Xuzhou Guanyin Airport,Xuzhou,XUZ,20,34.059056,117.555278
Yibin Caiba Airport,Yibin,YBP,10,28.8005555556,104.545
Yichang Sanxia Airport,Yichang,YIH,24,30.55655,111.47998799999999
Yangzhou Taizhou Airport,Yangzhou,YTY,18,32.5634,119.7198
Vancouver International Airport,Vancouver,YVR,158,49.193901061999995,-123.183998108
Zhanjiang Airport,Zhanjiang,ZHA,19,21.214399,110.358002
Zhongwei Shapotou Airport,Zhongwei,ZHY,2,37.573125,105.154454
Zhuhai Jinwan Airport,Zhuhai,ZUH,60,22.006399,113.375999
McCarran International Airport,Las Vegas,LAS,246,36.08010101,-115.15200039999999
Los Angeles International Airport,Los Angeles,LAX,492,33.94250107,-118.40799709999999
Cairo International Airport,Cairo,CAI,151,30.12190055847168,31.40559959411621
Ben Gurion International Airport,Tel-aviv,TLV,136,32.011398315429695,34.88669967651367
McGrath Airport,Mcgrath,MCG,6,62.95289993,-155.60600280000003
Nikolai Airport,Nikolai,NIB,1,63.0186,-154.358002
Tatalina LRRS Airport,Tatalina,TLJ,1,62.894401550299996,-155.977005005
Beloyarskiy Airport,Beloyarsky,EYK,4,63.686901,66.698601
Nukus Airport,Nukus,NCU,4,42.48839950561523,59.62329864501953
Nadym Airport,Nadym,NYM,8,65.48090362548828,72.69889831542969
Sovetskiy Airport,Sovetskiy,OVS,5,61.326622009277344,63.60191345214844
Roshchino International Airport,Tyumen,TJM,22,57.189601898199996,65.3243026733
Ukhta Airport,Ukhta,UCT,4,63.56689834594727,53.8046989440918
Ufa International Airport,Ufa,UFA,23,54.55749893188501,55.874401092529
Vnukovo International Airport,Moscow,VKO,86,55.591499328599994,37.2615013123
Barisal Airport,Barisal,BZL,1,22.80100059509277,90.30120086669922
Netaji Subhash Chandra Bose International Airport,Kolkata,CCU,97,22.654699325561523,88.44670104980469
Shah Amanat International Airport,Chittagong,CGP,16,22.24959945678711,91.81330108642578
Cox's Bazar Airport,Cox's Bazar,CXB,3,21.452199935913086,91.96389770507812
Hazrat Shahjalal International Airport,Dhaka,DAC,74,23.843347,90.39778299999999
Dubai International Airport,Dubai,DXB,356,25.252799987800003,55.3643989563
King Abdulaziz International Airport,Jeddah,JED,194,21.6796,39.156502
Jessore Airport,Jessore,JSR,3,23.183799743652344,89.16079711914062
Tribhuvan International Airport,Kathmandu,KTM,44,27.6966,85.3591
Muscat International Airport,Muscat,MCT,104,23.593299865722656,58.284400939941406
Shah Mokhdum Airport,Rajshahi,RJH,1,24.43720054626465,88.61650085449219
Saidpur Airport,Saidpur,SPD,2,25.75919914245605,88.90889739990234
